Time (s),Average Resistance (Ohms)
0,9838736.936184565
1,9622856.461626798
2,9668443.755405016
3,9752780.261048576
4,10167464.812152946
5,9677404.853440322
6,9971182.559947623
7,10223322.731146783
8,9959067.293731133
9,9968784.117362931
10,10124915.02511172
11,9684063.987915963
12,9711297.226870725
13,9325314.255170183
14,9427720.058609698
15,9724504.349484453
16,9580213.316979086
17,9523987.291978747
18,9594263.669549942
19,9644119.36950701
20,9673254.165124282
21,9951002.07908916
22,9613115.505177295
23,10361819.965301922
24,9734853.662972478
25,10015591.916707043
26,9968349.274024423
27,9559396.828263711
28,9299899.125356393
29,10407649.970540509
30,9457417.2217862
31,9803931.013938513
32,9317660.272514096
33,9974134.565915074
34,9773456.962461323
35,9979096.395493537
36,9835339.516746704
37,10002391.284542244
38,10225711.243482884
39,9910288.926139895
40,10751931.448429765
41,10627175.686584959
42,10326104.445796886
43,10884010.75613291
44,9785151.764109831
45,9831310.478080485
46,9712935.192589788
47,9560993.026481962
48,9498930.304646743
49,9513656.725291971
50,9583369.8858194
51,9733289.597775962
52,9583945.33921183
53,9406295.094610184
54,8970226.53779304
55,9381036.985608041
56,9631664.714401428
57,9727004.513385896
58,9829195.999420866
59,10025353.7491487
60,9356729.056853717
61,9794140.698746411
62,9918718.760714639
63,9408212.922581224
64,9758652.145839583
65,10023554.910951212
66,10285994.691003524
67,9955388.277602611
68,10165234.981640767
69,9772763.229894945
70,9221182.794854973
71,9001717.973572828
72,9126200.729080202
73,9242272.093943626
74,9462433.653407255
75,9528724.762010643
76,9832434.932374632
77,9971840.74083619
78,9357172.035972506
79,9280706.215447376
80,9257952.318442374
81,9068802.033701973
82,9053221.738834288
83,9915877.740884844
84,9641006.122925745
85,10411007.47222612
86,9493330.665250331
87,9745159.001246575
88,9388422.790131269
89,9581012.507371508
90,9948641.678696098
91,8948103.08199814
92,9941531.954561565
93,10207766.205530738
94,9365056.805882014
95,9457258.729607506
96,8988982.957958093
97,9073844.041652868
98,9254483.450501174
99,9655817.18471597
100,9441505.606504563
101,9425796.548969127
102,9374676.374231994
103,9266907.573318005
104,9651471.36517663
105,9501423.615933945
106,9115169.213483077
107,9518856.626763366
108,9494173.317920191
109,9401281.21117038
110,10214356.637836818
111,10269585.028779533
112,9866583.628467426
113,9417439.595137049
114,9950966.532895822
115,9790874.553230463
116,9782195.399232738
117,10156369.282654034
118,9233986.128920142
119,9087076.147793513
120,9660833.184858497
121,9419227.133388406
122,9480543.540557243
123,9336654.025951585
124,9837446.976599818
125,9825064.824640447
126,9995635.645735698
127,9637813.08049981
128,9527130.925983405
129,9829266.241300445
130,9756495.887461599
131,9645136.877114287
132,9654076.836325625
133,9951520.584308036
134,9735390.965948539
135,10141617.604979856
136,10170285.251834337
137,9821832.95419831
138,9832967.452042283
139,9512654.343412038
140,9195775.02244946
141,9563669.104829177
142,9514270.592883147
143,9578332.821468951
144,9652095.813119965
145,10756309.640947253
146,9874995.774046144
147,9628850.771824708
148,9783937.844771322
149,9836744.064502109
150,10516314.715967912
151,10202308.184305672
152,10140017.398865156
153,10227829.860204523
154,10284527.286257137
155,10233855.056264289
156,9728909.641365524
157,9036190.21306299
158,9363537.7003588
159,9547653.3435243
160,9952935.330819875
161,10211868.646885557
162,9864237.93263066
163,9818731.31228944
164,10035825.976299793
165,9748800.814514674
166,10127204.744009411
167,9802044.607108206
168,10153048.436518872
169,10252440.130005157
170,10321426.175310595
171,9942046.178063475
172,9222147.149646185
173,9426607.94220399
174,9727618.879941678
175,9576522.460813329
176,9735409.82244801
177,9723687.494578984
178,9994007.938800227
179,10002817.447244216
180,9840092.373559061
181,10224213.136707429
182,9547281.39677078
183,9745884.451318843
184,9973745.272432402
185,10139607.218193194
186,9944487.183402453
187,9987052.876138411
188,10029153.68123264
189,9457667.987751588
190,9191640.950087814
191,9142251.749706876
192,9364237.804947311
193,9449373.104479209
194,9819796.590946544
195,10050548.940839112
196,9999113.095989788
197,10173419.90149056
198,9776021.90414936
199,9365105.412563862
200,10622003.14285994
201,9735741.983523825
202,10236312.881665502
203,10027858.24844842
204,10289044.046291376
205,10158327.743443465
206,10095913.533293156
207,10443129.020161735
208,9643345.106538326
209,9744443.874581004
210,10146923.194480604
211,10164057.270292142
212,10269973.096645342
213,10165971.836967345
214,10176606.279626708
215,9708560.672702018
216,9402564.59318311
217,9790767.344221197
218,9322088.920965973
219,9246737.968631182
220,9520189.569430986
221,9714337.077659706
222,9669329.011010852
223,9710954.24235925
224,9586448.966231944
225,9674153.241080334
226,9882094.326977275
227,9787435.588403735
228,9932319.148643624
229,10284388.309357636
230,10058109.09137606
231,9919788.224645564
232,9718930.554241532
233,9624174.659319205
234,10026556.889688758
235,9529643.939020477
236,9780483.52920147
237,10173564.833600113
238,9528628.446288558
239,10348207.273931347
240,9835761.65081206
241,9489428.967736704
242,9660536.445382914
243,10278695.057403555
244,9827323.78691607
245,9578639.53488398
246,10185596.714397997
247,9967957.692583643
248,10204594.814894034
249,10346930.826961894
250,9583692.935885625
251,9722245.193137074
252,9533941.705156034
253,10026402.728632115
254,10019987.164178966
255,10140342.181315735
256,10421676.953377843
257,9933242.065820929
258,9964376.635255724
259,9762636.211868066
260,9098194.534032507
261,9294561.020008203
262,9824019.422446698
263,9379801.26350642
264,9701332.169492321
265,9655829.528281562
266,9603153.93385087
267,9442808.071157392
268,9286283.041570256
269,9567551.668090612
270,9747274.256354474
271,9868789.451534526
272,9567338.677858546
273,10147164.499653872
274,9520443.336963184
275,9427677.413814913
276,9973201.965444742
277,9518193.068617743
278,9990007.903834272
279,9927805.973525103
280,10040449.253813578
281,10030011.182271935
282,10221562.657771476
283,10099625.972788308
284,9762148.113379303
285,10191562.76514014
286,9905323.198225502
287,10126444.275669394
288,10374309.767877407
289,10524296.731569128
290,10055586.628898863
291,10227348.915073643
292,9848773.260180918
293,10099344.975586597
294,10268010.946502704
295,9648699.998668933
296,9310857.188168861
297,9742640.591761759
298,9068351.948800277
299,9047316.311475387
300,9838257.435286935
301,9260050.547852878
302,9255574.49528521
303,10151810.20952045
304,9861007.991230538
305,10249837.125263918
306,9896669.979538731
307,9597962.571056375
308,9893656.006964283
309,9628380.730049418
310,9662915.051957013
311,9588406.689577658
312,10425099.623132564
313,9773240.5727724
314,9726160.477402527
315,9596649.265226219
316,9882491.965090908
317,9760318.64914141
318,9994774.237314707
319,10007658.236913271
320,10368634.298635665
321,10128952.362051133
322,10460287.810710173
323,10277038.169577608
324,9979744.38637101
325,9645670.774536917
326,9153312.647463338
327,9590108.415320342
328,9736887.670462577
329,10212347.230305826
330,9723175.592933303
331,9746455.093064161
332,9666387.693563635
333,9943687.13583242
334,10017068.013122773
335,9957687.534360666
336,10069696.378422163
337,10242422.142188348
338,9842063.658048341
339,9407506.920590512
340,9448827.930385223
341,10190384.793713858
342,9549303.250677504
343,9802705.911157617
344,9194253.56668606
345,10015711.151785249
346,10015812.31873301
347,10385955.693206264
348,10159689.165172314
349,10319610.699512552
350,9352229.111653391
351,9259105.465170592
352,9620716.357918052
353,9507903.456327025
354,9747119.533399552
355,10195179.778281884
356,9937795.398858301
357,10133310.86908789
358,10017259.520676613
359,9901739.342869107
360,9992323.381403528
361,9550442.526854724
362,9462259.886943266
363,9386417.219052041
364,9424919.132609745
365,10023652.245339332
366,10658657.072160115
367,9692042.064769682
368,10042124.370015036
369,9700131.980039867
370,10059449.135392036
371,9869237.552646719
372,10233260.5596849
373,10043408.604285028
374,9431049.679785253
375,9979930.131617116
376,9794519.735966355
377,9470724.28504948
378,9627064.348925125
379,9762284.74203473
380,9930905.593449963
381,10632571.708102455
382,9979406.13676804
383,10362919.911759274
384,10377717.815345548
385,9409821.608854711
386,9458905.320378214
387,9926686.5052366
388,9671702.25645414
389,9850360.078516157
390,9685526.409756465
391,10106553.555285767
392,10358747.786333598
393,10187586.943665178
394,9976300.471384177
395,9051152.270414932
396,9645660.81052602
397,9997428.236187007
398,9350953.9172864
399,9580682.81373538
400,9954919.925760094
401,9522935.71832387
402,9672584.121821837
403,9806650.585110364
404,9516548.506471882
405,9705324.929449536
406,9616544.742888274
407,9902142.6189152
408,9996899.944926698
409,10299425.312552802
410,10013668.41449728
411,9762547.050457262
412,10102908.800689572
413,9910576.71187115
414,9449002.923243152
415,9552547.773060173
416,9436518.733676119
417,9714081.125057042
418,10192828.666472197
419,10215806.95634882
420,9836080.811942657
421,9745907.925725557
422,10116472.558567135
423,10096784.188238336
424,10260877.215290781
425,9923565.907491185
426,10434033.83707081
427,10363784.927877987
428,8954968.948718552
429,9056825.274572264
430,9384989.456263319
431,9243391.044100633
432,9871212.20238117
433,9759296.713548845
434,9894603.986665262
435,9702191.366292093
436,9589884.086407116
437,9557444.864497509
438,10127716.408120785
439,9687465.764517011
440,9788771.764029829
441,10091128.162232766
442,10289385.631363902
443,10063153.795442054
444,9767537.25315335
445,9814763.695644328
446,10240176.576706856
447,9829113.759990618
448,9951603.009478003
449,9587967.857582554
450,9887773.542098904
451,9976320.608979791
452,9583933.75015903
453,9792139.552957522
454,10299659.634306485
455,9854445.755417649
456,9692218.567939464
457,9851999.31007912
458,9442410.816236315
459,10289947.040966023
460,10482155.299324589
461,10218215.034661274
462,10461010.036549428
463,10062730.57432605
464,9830142.135527667
465,9623656.487837326
466,9407353.759349998
467,9469734.850088825
468,9661956.976761451
469,9754229.783097154
470,9738014.820303435
471,9851208.564800309
472,10367962.500113983
473,9618558.462155636
474,9684826.864686903
475,10159601.687930223
476,10038455.689927952
477,10115616.119459655
478,10078695.802000118
479,9572255.358430644
480,9430520.252977623
481,9460006.178118264
482,10351756.778695518
483,9985970.581861794
484,10008721.323289135
485,9746416.62857612
486,10225362.323205309
487,9960250.352920067
488,10322088.470485862
489,9599973.182240343
490,9933981.069822686
491,9858890.749740966
492,10261790.803846192
493,10286527.789605103
494,10232955.391329948
495,10055255.253138581
496,10226026.401389925
497,9928673.340731118
498,10121675.869175948
499,10090564.780977366
500,10177764.116338832
501,9768635.781145168
502,10334613.559423612
503,9995615.687511368
504,10116165.8224477
505,9657856.416042933
506,10058068.127434045
507,9629018.867872283
508,9730455.858483512
509,9613897.311946273
510,9931901.842513869
511,8967889.10139293
512,10208676.236528246
513,10035552.793485764
514,10313881.01536573
515,9677772.372831063
516,9749661.96615093
517,10073775.243571993
518,10310935.44472567
519,10218652.93554496
520,10110940.362433633
521,10413440.54501922
522,9777915.666250858
523,10051271.063794391
524,9960117.405533677
525,10521709.354556782
526,9945212.630294219
527,10931452.366382554
528,10277593.878358591
529,9647488.57152939
530,10038598.074294118
531,9965363.961734649
532,10547320.262132006
533,10217326.549936494
534,9849753.151403915
535,10829278.423580786
536,10192676.598468844
537,10304913.921955522
538,9801773.152515015
539,9917047.572587227
540,9996726.341337143
541,9763916.759767847
542,9798060.679526852
