Time (s),Average Resistance (Ohms)
0,28477996.44034264
1,28576779.019644838
2,28436333.175691072
3,28615578.951862134
4,28585152.49479507
5,28550325.609358758
6,28605785.51657977
7,28579754.88864547
8,28698706.598794587
9,28598406.092328884
10,28764799.201168396
11,28731885.66112846
12,28789162.86694956
13,28759092.233074628
14,28859461.816836964
15,28827542.497707877
16,28801951.937661506
17,28833863.7715838
18,28890604.6672753
19,28961408.694672413
20,28940470.01820506
21,29057450.650975175
22,28925880.651679073
23,28975254.171404574
24,28846580.511730846
25,28827155.184180863
26,28977019.396634713
27,28943933.047035217
28,29023455.531476315
29,29031810.06827884
30,29037577.715985212
31,29011791.791266736
32,29027340.887509324
33,28964829.079821024
34,28969222.93289734
35,29063851.86654898
36,29012580.752923563
37,29110068.057418507
38,29118147.92848716
39,29094549.32127078
40,29113258.451736126
41,29095949.43103297
42,29103684.870786894
43,29197520.421509825
44,29141448.788661774
45,29204158.42752918
46,29194294.446315512
47,29136954.219716106
48,29231695.368419014
49,29137969.566155497
50,29263944.595520917
51,29174442.846585702
52,29253968.762589704
53,29156901.402202357
54,29274982.10251935
55,29337849.79332252
56,29100764.99057475
57,29300298.76136543
58,29331273.982163236
59,29094056.996998075
60,29255777.821399778
61,29321123.605955746
62,29458021.45402352
63,29316142.989182327
64,29344790.521445315
65,29257843.92818278
66,29279205.298923552
67,29229164.711635046
68,29077746.97874333
69,29140618.08064943
70,29332626.068746775
71,29258677.203120418
72,29267340.058599707
73,29113891.781811204
74,29267231.197348554
75,29275091.357903067
76,29243937.5220739
77,29244970.357088484
78,29351693.54764905
79,29099192.415236033
80,29195172.92983062
81,29178055.58428669
82,29341136.149222944
83,29288920.117429085
84,29930070.052101802
85,29606433.696294814
86,29509212.18192397
87,29346192.109262202
88,29579853.019590948
89,29495302.47117083
90,29489976.830831397
91,29427121.07729816
92,29433274.10858201
93,29485014.257968184
94,29406584.760370646
95,29505164.866676074
96,29549529.453553338
97,29528597.580047965
98,29528485.136320006
99,29408658.407370657
100,29465780.946407888
101,29366393.21167511
102,29600860.23923584
103,29413896.700044602
104,29522329.172535196
105,29406141.9161826
106,29386130.46377284
107,29372088.134106655
108,29532615.30843256
109,29543802.595319584
110,29538896.352904126
111,29518250.89271297
112,29342629.646769274
113,29459455.44467689
114,29492406.947807487
115,29441976.57825741
116,29422789.82736692
117,29427291.711362008
118,29377759.966575406
119,29465408.900001004
120,29517618.24722385
121,29550529.728699535
122,29619877.29593388
123,29492304.73803776
124,29493694.82272543
125,29420162.794215847
126,29521920.679606102
127,29607395.91275518
128,29518665.736639176
129,29503303.19386475
130,29497905.882941928
131,29494711.579674035
132,29586248.35085189
133,29512870.43758304
134,29427534.651178617
135,29417018.544483997
136,29465841.8962394
137,29556864.22709739
138,29531436.62600729
139,29668127.622650977
140,29664185.90601688
141,29631035.961426023
142,29604984.736870494
143,29554979.8125915
144,29588841.4450453
145,29585380.92609114
146,29610311.007090364
147,29606854.91154082
148,29621130.485518098
149,29587189.95224087
150,29632036.673524845
151,29426641.41551924
152,29543154.347515587
153,29632801.81537112
154,29659698.980564494
155,29676138.594136924
156,29649173.595856193
157,29700038.52488089
158,29643942.711940393
159,29803116.023603424
160,29661195.66001126
161,29662762.92130048
162,29755577.03591639
163,29626367.97896464
164,29612820.25022079
165,29631578.15021057
166,29670628.43502878
167,29642433.15639632
168,29745135.213093556
169,29657330.09692975
170,29669220.873229668
171,29788915.0682753
172,29599487.036573485
173,29506761.440187268
174,29645455.334304754
175,29891536.483673636
176,29668138.49701279
177,29709505.221583605
178,29646133.749319747
179,29688980.29498769
180,29701945.622312203
181,29710450.933001153
182,29822141.18803605
183,29784503.155413333
184,29838281.877447236
185,29831609.29044472
186,29659527.176683757
187,29698974.107327342
188,29619753.111450855
189,29646626.203993373
190,29836172.01664506
191,29814735.687281445
192,29854772.829745132
193,29783760.113739554
194,29713995.204708155
195,29784692.72174393
196,29725565.763863742
197,29847080.05932844
198,29763940.679649834
199,29861403.29668913
200,29830301.375291448
201,29855497.85805194
202,29814542.338527262
203,29694934.79234038
204,29757285.319564696
205,29837627.142545905
206,29956839.089704357
207,29784129.764956098
208,29903521.54589805
209,29843665.214505572
210,29913669.526420563
211,29732592.025826886
212,29779727.19413651
213,29798478.052329555
214,29862590.50494027
215,29841032.2502143
216,29801729.865213957
217,29838317.88070896
218,29814809.53659554
219,29763980.63282598
220,29861773.822223693
221,29812948.44784346
222,29795569.217359826
223,29846248.436339762
224,29901842.930561405
225,29878632.759018283
226,29827829.32504775
227,29774153.57888107
228,29751279.509193115
229,29748165.29537872
230,29834381.80166217
231,29668293.46968153
232,29727118.162876368
233,29735983.464864377
234,29656085.365278658
235,29753384.336087413
236,29703794.861806814
237,29769153.83105661
238,29748015.771484684
239,29708951.57573492
240,29673796.532291412
241,29738513.84830517
242,29732186.51318427
243,29768955.8589615
244,29803514.37661253
245,29875170.86947908
246,29815238.8370304
247,29884486.49909353
248,29777163.64684722
249,29670079.785525896
250,29769726.331213344
251,29733827.89491241
252,29843347.903786283
253,29766146.953865632
254,29712320.433800478
255,29847730.65256814
256,29696259.01696776
257,29803039.34825328
258,29779662.40986686
259,29848751.914316002
260,29874788.79105402
261,29839610.0755336
262,29825268.19919641
263,29761398.803756952
264,29803831.84488125
265,29943868.281964798
266,29792231.17930705
267,29925300.973082334
268,29936207.11177053
269,29885247.066420265
270,29831200.509570975
271,29931602.155016616
272,29875219.888874423
273,29858041.53674427
274,30059697.70703371
275,29759003.18639679
276,29919278.59036199
277,29950858.552747585
