Time (s),Average Resistance (Ohms)
0,11300909.596542796
1,11333807.1868315
2,11298284.295799425
3,11287370.51787102
4,11328941.262792245
5,11310120.766260251
6,11299579.954374116
7,11316274.194598554
8,11326738.827443982
9,11349867.613028413
10,11335037.200772207
11,11395544.918385107
12,11416859.311963152
13,11334250.254901625
14,11383144.428195927
15,11395993.261114903
16,11363759.763016824
17,11368641.856431864
18,11366275.914379925
19,11405675.317905184
20,11347236.487854313
21,11328817.816134162
22,11375719.413886247
23,11417475.817137789
24,11346229.944245765
25,11385533.663044337
26,11402893.46247841
27,11379079.345134463
28,11367911.091872305
29,11397680.775368059
30,11379236.081357146
31,11442445.203999046
32,11461358.17639429
33,11420405.744692076
34,11455168.31139575
35,11359921.257365074
36,11428772.552614728
37,11423658.319727497
38,11393354.642283484
39,11418365.994896954
40,11393634.386928877
41,11408631.597652014
42,11409527.449069122
43,11415211.073661143
44,11366512.230717374
45,11412955.835206514
46,11413945.619342452
47,11382224.211674286
48,11423100.382836035
49,11326971.76904149
50,11371085.365631422
51,11428191.305256847
52,11389970.714604652
53,11368101.61620896
54,11439743.971462166
55,11377262.162313366
56,11413220.10062
57,11378313.149777627
58,11359918.263624694
59,11387437.889154043
60,11353454.975149155
61,11390790.16035583
62,11443912.053179195
63,11359615.045356136
64,11396818.395711932
65,11420287.284999706
66,11402445.730463143
67,11398861.086656015
68,11389020.121471
69,11447271.443573374
70,11405661.34713617
71,11467037.375657206
72,11390967.845511954
73,11389154.024151005
74,11407895.895731762
75,11387407.891575156
76,11452637.772573823
77,11339289.549959501
78,11387630.47604479
79,11472245.641789973
80,11408696.147116743
81,11418992.7973972
82,11421067.799449842
83,11399151.537626067
84,11407582.259380853
85,11452468.197363706
86,11387589.233793447
87,11424783.95578155
88,11373513.613884075
89,11403893.112199634
90,11492499.779304685
91,11352001.71822763
92,11422269.131606774
93,11421097.273494305
94,11386184.361597523
95,11471329.299179139
96,11484722.485329136
97,11431376.704662088
98,11430424.812013108
99,11434593.340992723
100,11453029.058783341
101,11423742.31094993
102,11379947.89676555
103,11419151.607377756
104,11502255.50308694
105,11468298.9635571
106,11421802.15180692
107,11446157.52051171
108,11421815.381976664
109,11480046.420261094
110,11503066.257674092
111,11396019.853427978
112,11421590.873664025
113,11496869.785249837
114,11461595.853233341
115,11435291.100947933
116,11354810.834411727
117,11405496.298496233
118,11465639.081065305
119,11447283.015972953
120,11424168.033327498
121,11420615.792136278
122,11407039.562914873
123,11402025.277065936
124,11486946.32235016
125,11416833.327477995
126,11418907.979094021
127,11488766.244874237
128,11425364.121644394
129,11430232.763726417
130,11406459.159013249
131,11421517.227332626
132,11480961.674203726
133,11402156.436076894
134,11460867.48885597
135,11474352.529346514
136,11447951.245389929
137,11475353.487459727
138,11501827.771084737
139,11441433.794015536
140,11430011.183013095
141,11499883.965867378
142,11467444.406950783
143,11450643.553488648
144,11416544.173127754
145,11429225.185850667
146,11505037.673304642
147,11403259.377428882
148,11440944.1900724
149,11456698.274017738
150,11412605.564757813
151,11440683.402578397
152,11471500.133601235
153,11436520.601393873
154,11467750.10878003
155,11482580.631807301
156,11425709.315844173
157,11449852.514059285
158,11400939.802791005
159,11425565.413186029
160,11516447.913008222
161,11428372.926610705
162,11443567.683683472
163,11479847.676010733
164,11458640.426167985
165,11467710.588043012
166,11501834.30301901
167,11437001.531449769
168,11462273.767818991
169,11520607.364774259
170,11499033.671278857
171,11469806.345782164
172,11483369.37675708
173,11444996.76952358
174,11522640.759737596
175,11454385.535716498
176,11448493.899559064
177,11504002.132265598
178,11446374.202498525
179,11459380.097892404
180,11500230.371719163
181,11453697.981510932
182,11496294.81906923
183,11501175.215356713
184,11449034.364696808
185,11456713.94445409
186,11499195.473764641
187,11478659.538350364
188,11517931.730462454
189,11451352.71547465
190,11490609.067238377
191,11492908.528295303
192,11420887.313708741
193,11438921.821860705
194,11489168.526561227
195,11424714.04042551
196,11471643.709942032
197,11498890.77448726
198,11480990.918909047
199,11496241.346396144
200,11486817.429956248
201,11451072.35451205
202,11479161.813237885
203,11430809.451337079
204,11468418.735862851
205,11503808.512748338
206,11442852.727672374
207,11453855.911613047
