Time (s),Average Resistance (Ohms)
0,7895936.011824379
1,7872437.515103808
2,7772816.954491425
3,8207528.366021893
4,7748378.414935866
5,7639341.650146948
6,7703650.403800489
7,7815701.578521425
8,7960260.095075272
9,7711689.05216746
10,7975999.904841291
11,7878482.163262059
12,7977112.1433290215
13,7662775.823801942
14,7744441.994964018
15,7638349.938472949
16,7823102.874252033
17,7690830.53475931
18,7905318.766151675
19,7623824.502417967
20,7597292.8431887375
21,7291042.270576117
22,7625543.745885876
23,7420151.944888664
24,7835880.12160905
25,7546885.941415695
26,7904353.940780407
27,7772817.740421509
28,7639083.807400053
29,7460224.022844036
30,7462433.209201398
31,7602565.366315385
32,7781638.5227364125
33,7696583.902457747
34,7846050.684361751
35,7292562.19673163
36,7263005.351477778
37,7256731.095478082
38,7388768.605384399
39,7609025.120929909
40,7289727.706711772
41,7528556.521756617
42,7572374.0223715715
43,7652334.981817561
44,7539085.238345905
45,7621768.872906543
46,7858402.101040785
47,7643743.360029797
48,8184055.671243747
49,7812186.459184475
50,8108177.613031795
51,7929713.204409135
52,7734524.298308894
53,7704197.087025214
54,7847766.590359193
55,7847419.568903993
56,8288549.916519333
57,7965268.477859591
58,8255871.274328717
59,7624973.44713113
60,8006795.749980896
61,7587553.561503412
62,8020069.72671586
63,8105884.323760596
64,8213663.261671469
65,7924191.64172392
66,7890198.3876769
67,7510408.671767717
68,7620980.084889923
69,7823949.662289068
70,7838035.14541676
71,7881165.630373159
72,7974004.945787062
73,7882856.607105935
74,7700831.433908517
75,7716599.845436589
76,8147045.442226613
77,7672654.010962452
78,7729480.3116106745
79,7911302.677309791
80,8147876.268131845
81,8002412.265852675
82,7997119.398524061
83,8088217.329857087
84,7632684.47794686
85,7709869.499535526
86,7748319.037896693
87,8049526.523529867
88,8540997.007667104
89,8403017.755946418
90,8035475.879267311
91,7501734.905864796
92,7465727.297637965
93,7793361.981222317
94,7802378.484708193
95,8321592.904959989
96,7858673.607880061
97,8178325.918622966
98,7781939.804133998
99,7800375.172526196
100,7683338.178221968
101,7654450.210338861
102,7736026.627430705
103,7896517.588604508
104,7977718.708553726
105,8024713.886409807
106,7646616.557295901
107,7840656.266421933
108,7828493.650492736
109,7625765.759617181
110,7649651.966287779
111,7917263.860558455
112,8075523.186767303
113,8370516.591886166
114,7914054.88870046
115,7951087.519073904
116,8123391.004883246
117,7808709.28201699
118,8049858.438337395
119,7969702.575285876
120,8084698.792403415
121,8136416.744755489
122,8061529.411985366
123,7834638.478606714
124,7798279.186946074
125,7763249.392076632
126,7779798.24617285
127,7767808.1342507815
128,7455060.273861049
129,7332961.0250953585
130,7283863.673577416
131,7498830.266710201
132,7582420.175000571
133,7627511.188790286
134,7472797.803011702
135,7872827.903771906
136,7999366.778649941
137,7931179.463280574
138,7902461.257561469
139,7877254.326988805
140,7908730.294752245
141,7649457.839512293
142,7767884.891024259
143,8230983.7311637495
144,7983725.206948325
145,8110818.348176693
146,7855823.179933695
147,8007952.915719101
148,8009075.489766943
149,7713657.08124953
150,7505895.960621551
151,7808084.163964536
152,8028374.293287103
153,7250080.19285923
154,7493129.587752285
155,7440626.015340175
156,7564102.338454952
157,7544522.242356254
158,7419615.5204708325
159,7918569.473526351
160,7934475.045384693
161,7704278.390193978
162,7711718.328905321
163,8176634.352601323
164,7901615.562563303
165,7992072.496798751
166,7780140.045445334
167,7930493.221881763
168,7835114.986549838
169,8341177.383682636
170,7966675.805177679
171,7577054.676238526
172,7371773.432460619
173,7446674.61541974
174,7399095.24926686
175,7268998.823338603
176,7408311.261268453
177,8030222.933421391
178,7779699.420823256
179,8002760.502884453
180,7608669.106046085
181,7707402.464935489
182,7598725.484647062
183,7632471.014117399
184,7978501.026928639
185,7970422.733909517
186,8438980.666326866
187,7914070.415705852
188,7822374.218650701
189,7711533.5593370795
190,7868332.573190253
191,7863401.4408368105
192,7644412.805724073
193,7928510.231262641
194,8320966.958670158
195,7907194.573692848
196,7508427.927305233
197,7362272.354701656
198,7573738.782582429
199,7434436.678049103
200,7453511.729622108
201,7671324.283477036
202,7843455.454669776
203,7783438.350266108
204,7898415.395609312
205,7518141.972072231
206,7927062.346210184
207,7598978.867600106
208,7769633.384997257
209,7896883.551965275
210,7871873.506235182
211,8128081.849214177
212,8636366.653274909
213,7839890.978101111
214,7415341.418896428
215,7382831.104585386
216,7582626.547294256
217,7614636.979335194
218,7600116.205175881
219,7906333.161547126
220,8043085.86621363
221,8086343.885429233
222,7898149.833220345
223,8077166.662192412
224,7707197.06772647
225,7760046.525457898
226,7972291.558727579
227,8207273.597794038
228,8137965.634719891
229,7906006.816563292
230,7814727.332953132
231,7451324.428704081
232,7804352.726919032
233,7900680.560944285
234,7703539.864207012
235,8019605.044764125
236,8078204.07683876
237,8088180.490402051
238,8202194.133631292
239,7478627.108601797
240,7320054.916152216
241,7410848.863947539
242,7556463.211859599
243,7599786.077090653
244,7730880.315647268
245,7616267.994329001
246,8388679.84111293
