Time (s),Average Resistance (Ohms)
0,-1225165.0768144592
1,174181.4616503099
2,2285971.1036132844
3,1289687.6017279346
4,5052019.0081622135
5,-1811840.4578981525
6,3434571.7656507185
7,12153645.90493759
8,2409781.1022948134
9,320740.99807895225
10,-2945764.475742194
11,3070612.0908961734
12,-3433727.4947271594
13,2990363.5513011804
14,-2569786.196313451
15,-776409.4308072807
16,6452640.565576019
17,2959352.412124344
18,3290137.0138980197
19,7697434.199088576
20,-1659768.4719328857
21,1360599.8137353815
22,6922856.133369873
23,9209681.441510951
24,-2010814.1886264936
25,-5879298.35290478
26,2078798.0529093638
27,5522091.623097928
28,1894775.6495262631
29,-11835569.205857586
30,1440861.9367702669
31,-56442.940612454666
32,2706241.510069353
33,1683530.4503120699
34,3435034.66363567
35,1199584.1968950182
36,-7485193.574497993
37,-15337316.764647778
38,1091104.5134197534
39,-2061870.1481442
40,2813629.62503497
41,5750584.271020489
42,8863350.992053965
43,-1177196.7105308822
44,5597476.4377699
45,2546378.737838421
46,4458241.745149695
47,4882444.031795643
48,-3274708.40746601
49,3617627.713720601
50,-11208318.224783596
51,13102001.327909697
52,-4026928.4933663225
53,6243600.53441551
54,-9969741.408246398
55,-2205644.271380865
56,-1932366.8103794903
57,10065145.830207024
58,-11750449.739105523
59,2454601.9645762756
60,-13099974.543028964
61,6451806.312114166
62,3827536.049717764
63,-275123.6244150969
64,-4586079.340868523
65,-5277877.673255123
66,2936484.362983007
67,10866240.417083446
68,-5566267.642058841
69,-5009650.862358532
70,-3224331.8168044374
71,-877667.7029366978
72,3937407.4509056313
73,-5584521.825897562
74,-7022118.195323205
75,14664644.655156385
76,4694370.008420904
77,15348892.040619442
78,-8707273.150770405
79,-6455712.698243609
80,7956547.356376494
81,3884809.4054657915
82,-8527727.804056566
83,-9028753.717365427
84,1922080.7610559326
85,7561229.974557531
86,-2976618.7394005484
87,-5089624.776481902
88,758193.6635946145
89,1056933.785868025
90,3173143.706085695
91,2699249.7021967
92,-709035.4759102629
93,5196627.684048112
94,2811212.6171177216
95,-2000445.606519044
96,2541448.719018961
97,436395.58803365845
98,5476680.203516328
99,-1988593.6284791566
100,-1688491.6205616556
101,7378274.632261081
102,-3631437.365841889
103,-2148320.923066505
104,-5292461.286753452
105,1629050.0528778073
106,-7845212.112482893
107,4390913.968165419
108,-6975915.76853553
109,2551949.7149235783
110,-8111252.498680232
111,3809356.2346654134
112,3018947.048308745
113,-3260203.853281549
114,948426.1705740957
115,-12145608.827157877
116,-10904510.834188683
117,-8056732.948595988
118,-5975850.393209102
119,-7983996.618588837
120,2096320.680257722
121,-4315893.46348121
122,-2462789.3153926567
123,91796.12059914689
124,11180168.181018995
125,-230158.08586666934
126,-7416669.565283941
127,525904.359866878
128,-653902.0543775631
129,3383045.8930237507
130,811920.5132376244
131,-1771180.4411107965
132,-4266856.560114021
133,5862933.630125912
134,7071175.036129983
135,-113782.60889881775
136,1426607.4654139872
137,4164599.567861224
138,7719048.866129878
139,-5121891.413638026
140,-8802484.249158276
141,14794280.496272925
142,-2133882.321566917
143,3972770.0499777272
144,621716.2338551739
145,-7526435.342313213
146,659192.661546714
147,9509540.249126058
148,-13619985.519051796
149,-329493.6255801879
150,-14100734.425040916
151,1032221.6515301991
152,1105276.397460401
153,5095131.644331244
154,-751348.105047162
155,-4755837.700528632
156,-137081.19538846053
157,5524165.169286321
158,-12304242.63240135
159,1911999.195650284
160,-15210150.573387688
161,2681316.1765971994
162,-6784182.015095013
163,9060715.892796105
164,958583.9703775564
165,-693641.6708265904
166,-6855255.700742061
167,3833868.142018934
168,623459.8627560843
169,1749199.5344139326
170,2387250.721389954
171,-3026190.902721327
172,-1364744.6689159996
173,-1319926.4970249382
174,-4444552.674705697
175,2135234.5320420857
176,449405.9794575777
177,1976578.0796799553
178,4525398.723722336
179,-2812597.19463749
180,4135821.697085903
181,-1198421.0111093214
182,-1628809.0821976317
183,4607142.180617453
184,-1612309.8593776978
185,-986097.1574008378
186,-11239590.914308319
187,-11392161.225108843
188,2021579.9910412547
189,-6042565.209965531
190,-105928.86053776373
191,-819418.0557648669
192,6692205.444625871
193,3676474.7134124725
194,3133202.6568787056
195,-11127128.337130446
196,133578.20281888015
197,6709495.1414359985
198,-1446967.8419493926
199,-720309.2596565702
200,-6883729.628917309
201,2555401.3531591184
202,3068186.6969891256
203,2206562.3965194845
204,-13393140.064094935
205,11401340.519342642
206,-7008587.88314064
207,3048538.3341918574
208,2658233.7948555714
209,7282563.586262303
210,3769218.8794423454
211,-342352.3260521337
212,896280.9535196649
213,10478030.732329939
214,891343.9011097329
215,-3235073.721428412
216,-14497478.722876564
217,-611692.948007226
218,5313816.692859492
219,-10548030.719071668
220,-6325852.574322961
221,8836346.26369172
222,1632314.2441972275
223,-3435841.1062762206
224,-953477.1283245154
225,3249786.9219157696
226,8200260.780708866
227,-5249346.101781534
228,-3810118.102414275
229,-7306044.220873127
230,-13558300.814850843
231,-10798098.16719941
232,-1985685.4318620656
