time_s,Voltage_5
0.265,-0.122107
0.266,-0.030482
0.267,-0.030482
0.268,5.9247e-05
0.269,0.061142
0.27,0.21385
0.271,0.244392
0.272,0.183309
0.273,0.152767
0.274,0.152767
0.275,0.091684
0.276,0.091684
0.277,0.091684
0.278,5.9247e-05
0.279,5.9247e-05
0.28,-0.091566
0.281,-0.091566
0.28200000000000003,-0.152649
0.28300000000000003,-0.213732
0.28400000000000003,-0.122107
0.28500000000000003,-0.122107
0.28600000000000003,-0.091566
0.28700000000000003,5.9247e-05
0.28800000000000003,-0.030482
0.28900000000000003,0.061142
0.29000000000000004,0.152767
0.29100000000000004,0.183309
0.29200000000000004,0.21385
0.29300000000000004,0.21385
0.29400000000000004,0.152767
0.29500000000000004,0.091684
0.29600000000000004,0.091684
0.29700000000000004,0.030601
0.29800000000000004,0.030601
0.29900000000000004,0.030601
0.30000000000000004,-0.030482
0.30100000000000005,-0.091566
0.30200000000000005,-0.122107
0.30300000000000005,-0.152649
0.30400000000000005,-0.18319
0.30500000000000005,-0.091566
0.30600000000000005,-0.091566
0.30700000000000005,-0.030482
0.30800000000000005,5.9247e-05
0.30900000000000005,0.030601
0.31000000000000005,0.183309
0.31100000000000005,0.21385
0.31200000000000006,0.183309
0.31300000000000006,0.122226
0.31400000000000006,0.122226
0.31500000000000006,0.122226
0.31600000000000006,0.122226
0.31700000000000006,0.030601
0.31800000000000006,0.061142
0.31900000000000006,5.9247e-05
0.32000000000000006,-0.030482
0.32100000000000006,-0.091566
0.32200000000000006,-0.152649
0.32300000000000006,-0.18319
0.32400000000000007,-0.122107
0.32500000000000007,-0.122107
0.32600000000000007,-0.061024
0.32700000000000007,-0.030482
0.32800000000000007,5.9247e-05
0.32900000000000007,0.061142
0.33000000000000007,0.152767
0.33100000000000007,0.152767
0.3320000000000001,0.21385
0.3330000000000001,0.122226
0.3340000000000001,0.122226
0.3350000000000001,0.152767
0.336,0.122226
0.337,0.091684
0.338,0.030601
0.339,-0.030482
0.34,-0.061024
0.341,-0.091566
0.342,-0.152649
0.343,-0.152649
0.34400000000000003,-0.152649
0.34500000000000003,-0.091566
0.34600000000000003,-0.091566
0.34700000000000003,-0.030482
0.34800000000000003,0.061142
0.34900000000000003,0.061142
0.35000000000000003,0.152767
0.35100000000000003,0.21385
0.35200000000000004,0.152767
0.35300000000000004,0.122226
0.35400000000000004,0.122226
0.35500000000000004,0.183309
0.35600000000000004,0.122226
0.35700000000000004,0.061142
0.35800000000000004,0.061142
0.35900000000000004,0.030601
0.36000000000000004,-0.030482
0.36100000000000004,-0.030482
0.36200000000000004,-0.122107
0.36300000000000004,-0.122107
0.36400000000000005,-0.122107
0.36500000000000005,-0.061024
0.36600000000000005,-0.061024
0.36700000000000005,-0.030482
0.36800000000000005,0.030601
0.36900000000000005,0.030601
0.37000000000000005,0.122226
0.37100000000000005,0.183309
0.37200000000000005,0.21385
0.37300000000000005,0.183309
0.37400000000000005,0.122226
0.37500000000000006,0.122226
0.37600000000000006,0.091684
0.37700000000000006,0.061142
0.37800000000000006,0.030601
0.37900000000000006,0.030601
0.38000000000000006,-0.030482
0.38100000000000006,-0.030482
0.38200000000000006,-0.091566
0.38300000000000006,-0.18319
0.38400000000000006,-0.122107
0.38500000000000006,-0.122107
0.386,-0.061024
0.387,5.9247e-05
0.388,0.030601
0.389,-0.030482
0.39,0.122226
0.391,0.152767
0.392,0.21385
0.393,0.152767
0.394,0.122226
0.395,0.122226
0.396,0.091684
0.397,0.030601
0.398,0.030601
0.399,0.030601
0.4,-0.030482
0.401,-0.061024
0.402,-0.122107
0.403,-0.152649
0.404,-0.122107
0.405,-0.091566
0.406,-0.122107
0.40700000000000003,0.030601
0.40800000000000003,5.9247e-05
0.40900000000000003,5.9247e-05
0.41000000000000003,0.152767
0.41100000000000003,0.21385
0.41200000000000003,0.183309
0.41300000000000003,0.21385
0.41400000000000003,0.152767
0.41500000000000004,0.122226
0.41600000000000004,0.122226
0.41700000000000004,0.061142
0.41800000000000004,0.030601
0.41900000000000004,5.9247e-05
0.42000000000000004,-0.061024
0.42100000000000004,-0.061024
0.42200000000000004,-0.18319
0.42300000000000004,-0.18319
0.42400000000000004,-0.122107
0.42500000000000004,-0.152649
0.42600000000000005,-0.030482
0.42700000000000005,-0.030482
0.42800000000000005,5.9247e-05
0.42900000000000005,0.030601
0.43000000000000005,0.122226
0.43100000000000005,0.183309
0.43200000000000005,0.274934
0.43300000000000005,0.152767
0.43400000000000005,0.122226
0.43500000000000005,0.091684
0.436,0.152767
0.437,0.061142
0.438,0.061142
0.439,-0.030482
0.44,-0.061024
0.441,-0.091566
0.442,-0.122107
0.443,-0.213732
0.444,-0.152649
0.445,-0.091566
0.446,-0.091566
0.447,-0.030482
0.448,0.030601
0.449,0.091684
0.45,0.152767
0.451,0.21385
0.452,0.21385
0.453,0.152767
0.454,0.183309
0.455,0.091684
0.456,0.122226
0.457,0.030601
0.458,0.030601
0.459,-0.030482
0.46,-0.030482
0.461,-0.091566
0.462,-0.18319
0.463,-0.18319
0.464,-0.18319
0.465,-0.091566
0.466,-0.061024
0.467,-0.030482
0.468,0.030601
0.46900000000000003,0.030601
0.47000000000000003,0.122226
0.47100000000000003,0.305475
0.47200000000000003,0.244392
0.47300000000000003,0.122226
0.47400000000000003,0.091684
0.47500000000000003,0.091684
0.47600000000000003,0.061142
0.47700000000000004,0.091684
0.47800000000000004,0.061142
0.47900000000000004,5.9247e-05
0.48000000000000004,5.9247e-05
0.48100000000000004,-0.061024
0.48200000000000004,-0.061024
0.48300000000000004,-0.122107
0.48400000000000004,-0.152649
0.48500000000000004,-0.122107
0.486,-0.091566
0.487,5.9247e-05
0.488,0.061142
0.489,-0.030482
0.49,0.091684
0.491,0.183309
0.492,0.244392
0.493,0.091684
0.494,0.122226
0.495,0.122226
0.496,0.091684
0.497,0.061142
0.498,0.061142
0.499,-0.030482
0.5,5.9247e-05
0.501,-0.030482
0.502,-0.122107
0.503,-0.18319
0.504,-0.122107
0.505,-0.091566
0.506,-0.030482
0.507,5.9247e-05
0.508,0.030601
0.509,0.061142
0.51,0.122226
0.511,0.152767
0.512,0.183309
0.513,0.21385
0.514,0.152767
0.515,0.091684
0.516,0.091684
0.517,0.061142
0.518,0.030601
0.519,5.9247e-05
0.52,-0.030482
0.521,5.9247e-05
0.522,-0.091566
0.523,-0.152649
0.524,-0.152649
0.525,-0.152649
0.526,-0.091566
0.527,5.9247e-05
0.528,5.9247e-05
0.529,0.091684
0.53,0.122226
0.531,0.21385
0.532,0.183309
0.533,0.183309
0.534,0.091684
0.535,0.122226
0.536,0.122226
0.537,0.030601
0.538,0.061142
0.539,0.030601
0.54,5.9247e-05
0.541,-0.061024
0.542,-0.122107
0.543,-0.18319
0.544,-0.091566
0.545,-0.152649
0.546,-0.061024
0.547,0.030601
0.548,5.9247e-05
0.549,-0.030482
0.55,0.183309
0.551,0.244392
0.552,0.152767
0.553,0.183309
0.554,0.21385
0.555,0.152767
0.556,0.122226
0.557,0.030601
0.558,5.9247e-05
0.5589999999999999,0.061142
0.56,5.9247e-05
0.5609999999999999,-0.061024
0.562,-0.18319
0.563,-0.18319
0.5640000000000001,-0.122107
0.565,-0.122107
0.5660000000000001,-0.122107
0.567,0.030601
0.5680000000000001,0.030601
0.569,0.061142
0.5700000000000001,0.21385
0.571,0.244392
0.572,0.244392
0.573,0.152767
0.574,0.122226
0.575,0.122226
0.576,0.122226
0.577,0.091684
0.578,-0.030482
0.579,5.9247e-05
0.58,-0.030482
0.581,-0.061024
0.582,-0.030482
0.583,-0.122107
0.584,-0.122107
0.585,-0.122107
0.586,-0.122107
0.587,-0.030482
0.588,0.030601
0.589,0.122226
0.59,0.122226
0.591,0.21385
0.592,0.21385
0.593,0.152767
0.594,0.183309
0.595,0.122226
0.596,0.122226
0.597,0.061142
0.598,0.030601
0.599,5.9247e-05
0.6000000000000001,5.9247e-05
0.6010000000000001,-0.061024
0.6020000000000001,-0.091566
0.6030000000000001,-0.152649
0.6040000000000001,-0.152649
0.6050000000000001,-0.091566
0.6060000000000001,-0.061024
0.6070000000000001,-0.030482
0.6080000000000001,5.9247e-05
0.6090000000000001,0.091684
0.6100000000000001,0.122226
0.6110000000000001,0.244392
0.6120000000000001,0.152767
0.6130000000000001,0.091684
0.6140000000000001,0.152767
0.6150000000000001,0.091684
0.6160000000000001,0.091684
0.6170000000000001,0.030601
0.6180000000000001,0.030601
0.6190000000000001,0.030601
0.6200000000000001,-0.030482
0.6210000000000001,-0.030482
0.6220000000000001,-0.152649
0.6230000000000001,-0.122107
0.6240000000000001,-0.152649
0.6250000000000001,-0.091566
0.6260000000000001,-0.030482
0.6270000000000001,5.9247e-05
0.6280000000000001,0.030601
0.6290000000000001,-0.030482
0.6300000000000001,0.122226
0.6310000000000001,0.152767
0.6320000000000001,0.183309
0.6330000000000001,0.122226
0.6340000000000001,0.183309
0.6350000000000001,0.152767
0.6360000000000001,0.091684
0.6370000000000001,0.061142
0.6380000000000001,0.030601
0.6390000000000001,5.9247e-05
0.6400000000000001,5.9247e-05
0.6410000000000001,-0.030482
0.6420000000000001,-0.122107
0.6430000000000001,-0.122107
0.6440000000000001,-0.091566
0.6450000000000001,-0.091566
0.6460000000000001,-0.091566
0.6470000000000001,5.9247e-05
0.6480000000000001,5.9247e-05
0.6490000000000001,5.9247e-05
0.6500000000000001,0.091684
0.6510000000000001,0.21385
0.6520000000000001,0.21385
0.6530000000000001,0.122226
0.6540000000000001,0.091684
0.6550000000000001,0.122226
0.6560000000000001,0.091684
0.6570000000000001,0.091684
0.6580000000000001,0.030601
0.659,0.061142
0.6600000000000001,-0.030482
0.661,-0.030482
0.6620000000000001,-0.122107
0.663,-0.122107
0.6640000000000001,-0.122107
0.665,-0.091566
0.6660000000000001,-0.091566
0.667,4.489675
0.6680000000000001,4.550758
0.669,4.550758
0.6700000000000002,4.672925
0.671,4.672925
0.672,4.703466
0.673,4.703466
0.674,4.672925
0.675,4.672925
0.676,4.611841
0.677,4.5813
0.678,4.5813
0.679,4.611841
0.68,4.520216
0.681,4.520216
0.682,4.489675
0.683,4.459133
0.684,4.489675
0.685,4.489675
0.686,4.550758
0.687,4.5813
0.6880000000000001,4.5813
0.6890000000000001,4.611841
0.6900000000000001,4.734008
0.6910000000000001,4.734008
0.6920000000000001,4.703466
0.6930000000000001,4.703466
0.6940000000000001,4.672925
0.6950000000000001,4.672925
0.6960000000000001,4.642383
0.6970000000000001,4.5813
0.6980000000000001,4.550758
0.6990000000000001,4.550758
0.7000000000000001,4.520216
0.7010000000000001,4.520216
0.7020000000000001,4.520216
0.7030000000000001,4.459133
0.7040000000000001,4.489675
0.7050000000000001,4.459133
0.7060000000000001,4.550758
0.7070000000000001,4.550758
0.7080000000000001,4.550758
0.7090000000000001,4.611841
