Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0003"
"0.0200","0.0000","0.0003"
"0.0400","0.0000","0.0004"
"0.0600","0.0000","0.0004"
"0.0800","0.0000","0.0005"
"0.1000","0.0000","0.0005"
"0.1200","0.0001","0.0004"
"0.1400","0.0001","0.0005"
"0.1600","0.0001","0.0007"
"0.1800","0.0001","0.0008"
"0.2000","0.0001","0.0008"
"0.2200","0.0001","0.0008"
"0.2400","0.0002","0.0010"
"0.2600","0.0002","0.0011"
"0.2800","0.0002","0.0011"
"0.3000","0.0002","0.0013"
"0.3200","0.0003","0.0013"
"0.3400","0.0003","0.0014"
"0.3600","0.0003","0.0016"
"0.3800","0.0004","0.0016"
"0.4000","0.0004","0.0018"
"0.4200","0.0004","0.0020"
"0.4400","0.0005","0.0021"
"0.4600","0.0005","0.0023"
"0.4800","0.0006","0.0024"
"0.5000","0.0006","0.0026"
"0.5200","0.0007","0.0028"
"0.5400","0.0007","0.0031"
"0.5600","0.0008","0.0033"
"0.5800","0.0008","0.0035"
"0.6000","0.0009","0.0037"
"0.6200","0.0009","0.0039"
"0.6400","0.0010","0.0041"
"0.6600","0.0011","0.0044"
"0.6800","0.0011","0.0046"
"0.7000","0.0012","0.0048"
"0.7200","0.0012","0.0050"
"0.7400","0.0013","0.0054"
"0.7600","0.0014","0.0057"
"0.7800","0.0015","0.0061"
"0.8000","0.0016","0.0065"
"0.8200","0.0017","0.0068"
"0.8400","0.0018","0.0072"
"0.8600","0.0018","0.0075"
"0.8800","0.0019","0.0079"
"0.9000","0.0020","0.0082"
"0.9200","0.0021","0.0087"
"0.9400","0.0022","0.0091"
"0.9600","0.0023","0.0095"
"0.9800","0.0024","0.0099"
"1.0000","0.0026","0.0103"
"1.0200","0.0027","0.0106"
"1.0400","0.0028","0.0111"
"1.0600","0.0029","0.0118"
"1.0800","0.0031","0.0124"
"1.1000","0.0032","0.0129"
"1.1200","0.0033","0.0134"
"1.1400","0.0035","0.0140"
"1.1600","0.0037","0.0148"
"1.1800","0.0038","0.0156"
"1.2000","0.0040","0.0164"
"1.2200","0.0042","0.0172"
"1.2400","0.0044","0.0182"
"1.2600","0.0047","0.0193"
"1.2800","0.0049","0.0204"
"1.3000","0.0052","0.0216"
"1.3200","0.0055","0.0229"
"1.3400","0.0058","0.0242"
"1.3600","0.0061","0.0254"
"1.3800","0.0064","0.0267"
"1.4000","0.0067","0.0280"
"1.4200","0.0070","0.0293"
"1.4400","0.0073","0.0306"
"1.4600","0.0076","0.0321"
"1.4800","0.0080","0.0337"
"1.5000","0.0083","0.0354"
"1.5200","0.0087","0.0371"
"1.5400","0.0091","0.0389"
"1.5600","0.0095","0.0405"
"1.5800","0.0098","0.0423"
"1.6000","0.0102","0.0440"
"1.6200","0.0106","0.0457"
"1.6400","0.0110","0.0475"
"1.6600","0.0114","0.0494"
"1.6800","0.0118","0.0510"
"1.7000","0.0121","0.0526"
"1.7200","0.0125","0.0543"
"1.7400","0.0128","0.0558"
"1.7600","0.0131","0.0572"
"1.7800","0.0134","0.0586"
"1.8000","0.0137","0.0601"
"1.8200","0.0141","0.0616"
"1.8400","0.0144","0.0631"
"1.8600","0.0147","0.0646"
"1.8800","0.0150","0.0661"
"1.9000","0.0154","0.0677"
"1.9200","0.0157","0.0694"
"1.9400","0.0160","0.0709"
"1.9600","0.0163","0.0723"
"1.9800","0.0166","0.0736"
"2.0000","0.0168","0.0749"
"2.0200","0.0171","0.0762"
"2.0400","0.0174","0.0776"
"2.0600","0.0177","0.0791"
"2.0800","0.0180","0.0808"
"2.1000","0.0183","0.0825"
"2.1200","0.0186","0.0842"
"2.1400","0.0189","0.0856"
"2.1600","0.0192","0.0871"
"2.1800","0.0195","0.0885"
"2.2000","0.0198","0.0899"
"2.2200","0.0200","0.0914"
"2.2400","0.0203","0.0928"
"2.2600","0.0206","0.0942"
"2.2800","0.0208","0.0955"
"2.3000","0.0211","0.0969"
"2.3200","0.0213","0.0982"
"2.3400","0.0216","0.0995"
"2.3600","0.0218","0.1007"
"2.3800","0.0220","0.1019"
"2.4000","0.0223","0.1030"
"2.4200","0.0225","0.1040"
"2.4400","0.0227","0.1051"
"2.4600","0.0229","0.1060"
"2.4800","0.0231","0.1071"
"2.5000","0.0232","0.1081"
"2.5200","0.0234","0.1090"
"2.5400","0.0236","0.1100"
"2.5600","0.0238","0.1111"
"2.5800","0.0240","0.1123"
"2.6000","0.0242","0.1135"
"2.6200","0.0244","0.1147"
"2.6400","0.0247","0.1161"
"2.6600","0.0249","0.1176"
"2.6800","0.0251","0.1191"
"2.7000","0.0253","0.1205"
"2.7200","0.0256","0.1219"
"2.7400","0.0258","0.1231"
"2.7600","0.0260","0.1244"
"2.7800","0.0262","0.1256"
"2.8000","0.0264","0.1267"
"2.8200","0.0266","0.1277"
"2.8400","0.0268","0.1288"
"2.8600","0.0270","0.1300"
"2.8800","0.0272","0.1312"
"2.9000","0.0274","0.1325"
"2.9200","0.0276","0.1340"
"2.9400","0.0278","0.1355"
"2.9600","0.0280","0.1370"
"2.9800","0.0282","0.1385"
"3.0000","0.0285","0.1401"
"3.0200","0.0287","0.1416"
"3.0400","0.0289","0.1431"
"3.0600","0.0291","0.1445"
"3.0800","0.0293","0.1459"
"3.1000","0.0295","0.1472"
"3.1200","0.0297","0.1484"
"3.1400","0.0299","0.1495"
"3.1600","0.0301","0.1507"
"3.1800","0.0303","0.1520"
"3.2000","0.0305","0.1533"
"3.2200","0.0307","0.1544"
"3.2400","0.0308","0.1556"
"3.2600","0.0310","0.1566"
"3.2800","0.0312","0.1577"
"3.3000","0.0313","0.1588"
"3.3200","0.0315","0.1599"
"3.3400","0.0317","0.1608"
"3.3600","0.0318","0.1618"
"3.3800","0.0320","0.1627"
"3.4000","0.0321","0.1636"
"3.4200","0.0323","0.1645"
"3.4400","0.0324","0.1653"
"3.4600","0.0325","0.1661"
"3.4800","0.0327","0.1670"
"3.5000","0.0328","0.1678"
"3.5200","0.0329","0.1686"
"3.5400","0.0331","0.1694"
"3.5600","0.0332","0.1702"
"3.5800","0.0333","0.1712"
"3.6000","0.0335","0.1722"
