Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0005"
"0.0200","0.0000","-0.0005"
"0.0400","0.0000","-0.0005"
"0.0600","0.0000","-0.0004"
"0.0800","0.0000","-0.0005"
"0.1000","0.0000","-0.0005"
"0.1200","0.0000","-0.0004"
"0.1400","0.0001","-0.0004"
"0.1600","0.0001","-0.0004"
"0.1800","0.0001","-0.0004"
"0.2000","0.0001","-0.0004"
"0.2200","0.0001","-0.0005"
"0.2400","0.0001","-0.0004"
"0.2600","0.0001","-0.0004"
"0.2800","0.0001","-0.0004"
"0.3000","0.0002","-0.0004"
"0.3200","0.0002","-0.0004"
"0.3400","0.0002","-0.0003"
"0.3600","0.0003","-0.0002"
"0.3800","0.0003","-0.0002"
"0.4000","0.0004","-0.0001"
"0.4200","0.0005","0.0000"
"0.4400","0.0006","0.0001"
"0.4600","0.0007","0.0003"
"0.4800","0.0008","0.0005"
"0.5000","0.0010","0.0007"
"0.5200","0.0012","0.0009"
"0.5400","0.0014","0.0012"
"0.5600","0.0017","0.0015"
"0.5800","0.0020","0.0019"
"0.6000","0.0024","0.0025"
"0.6200","0.0028","0.0030"
"0.6400","0.0033","0.0034"
"0.6600","0.0038","0.0038"
"0.6800","0.0043","0.0044"
"0.7000","0.0049","0.0050"
"0.7200","0.0055","0.0055"
"0.7400","0.0061","0.0061"
"0.7600","0.0068","0.0066"
"0.7800","0.0074","0.0071"
"0.8000","0.0080","0.0076"
"0.8200","0.0086","0.0081"
"0.8400","0.0092","0.0086"
"0.8600","0.0100","0.0092"
"0.8800","0.0108","0.0098"
"0.9000","0.0116","0.0104"
"0.9200","0.0125","0.0110"
"0.9400","0.0136","0.0118"
"0.9600","0.0148","0.0126"
"0.9800","0.0160","0.0134"
"1.0000","0.0172","0.0142"
"1.0200","0.0185","0.0150"
"1.0400","0.0198","0.0160"
"1.0600","0.0212","0.0171"
"1.0800","0.0228","0.0182"
"1.1000","0.0245","0.0194"
"1.1200","0.0262","0.0205"
"1.1400","0.0278","0.0216"
"1.1600","0.0295","0.0227"
"1.1800","0.0313","0.0242"
"1.2000","0.0332","0.0257"
"1.2200","0.0351","0.0271"
"1.2400","0.0370","0.0285"
"1.2600","0.0389","0.0300"
"1.2800","0.0408","0.0316"
"1.3000","0.0427","0.0332"
"1.3200","0.0446","0.0347"
"1.3400","0.0465","0.0365"
"1.3600","0.0486","0.0384"
"1.3800","0.0506","0.0402"
"1.4000","0.0526","0.0419"
"1.4200","0.0546","0.0437"
"1.4400","0.0566","0.0457"
"1.4600","0.0585","0.0475"
"1.4800","0.0603","0.0492"
"1.5000","0.0622","0.0510"
"1.5200","0.0641","0.0530"
"1.5400","0.0660","0.0552"
"1.5600","0.0678","0.0572"
"1.5800","0.0695","0.0591"
"1.6000","0.0711","0.0611"
"1.6200","0.0726","0.0631"
"1.6400","0.0742","0.0653"
"1.6600","0.0758","0.0675"
"1.6800","0.0774","0.0697"
"1.7000","0.0788","0.0718"
"1.7200","0.0802","0.0739"
"1.7400","0.0815","0.0760"
"1.7600","0.0828","0.0781"
"1.7800","0.0841","0.0804"
"1.8000","0.0853","0.0826"
"1.8200","0.0865","0.0847"
"1.8400","0.0875","0.0864"
"1.8600","0.0884","0.0878"
"1.8800","0.0893","0.0891"
"1.9000","0.0901","0.0907"
"1.9200","0.0909","0.0921"
"1.9400","0.0917","0.0935"
"1.9600","0.0925","0.0950"
"1.9800","0.0933","0.0966"
"2.0000","0.0941","0.0983"
"2.0200","0.0948","0.0997"
"2.0400","0.0955","0.1010"
"2.0600","0.0961","0.1021"
"2.0800","0.0967","0.1030"
"2.1000","0.0972","0.1037"
"2.1200","0.0976","0.1042"
"2.1400","0.0980","0.1047"
"2.1600","0.0984","0.1052"
"2.1800","0.0988","0.1059"
"2.2000","0.0992","0.1067"
"2.2200","0.0996","0.1077"
"2.2400","0.1001","0.1088"
"2.2600","0.1006","0.1099"
"2.2800","0.1011","0.1110"
"2.3000","0.1015","0.1121"
"2.3200","0.1020","0.1133"
"2.3400","0.1025","0.1145"
"2.3600","0.1030","0.1158"
"2.3800","0.1035","0.1171"
"2.4000","0.1040","0.1182"
"2.4200","0.1045","0.1192"
"2.4400","0.1049","0.1201"
"2.4600","0.1054","0.1212"
"2.4800","0.1058","0.1221"
"2.5000","0.1062","0.1230"
"2.5200","0.1066","0.1238"
