Time (s),Average Resistance (Ohms)
0,19824576.54243591
1,20319846.06919313
2,18230741.88048251
3,20057093.884828106
4,18702640.40578541
5,19052910.36736676
6,19695572.924620144
7,18683950.87865099
8,20564492.8363403
9,18351677.302781243
10,17173155.387251884
11,18603577.268986445
12,19222486.16390587
13,18746960.41975647
14,18516417.27789101
15,22439045.089104723
16,20969238.3478481
17,19978482.82204428
18,17286279.135161463
19,18382453.207238987
20,18872913.879201155
21,19310978.011218842
22,19762753.806982394
23,21532721.70290561
24,19311023.518894613
25,19026506.55634039
26,20116868.759626366
27,19125075.413788073
28,19712067.866702743
29,19681427.50417056
30,20694796.335923284
31,19739535.063834555
32,20397149.16483581
33,19693503.224612378
34,18992978.269318197
35,19173831.5198697
36,19521553.81594802
37,19844191.79370876
38,20214880.252622724
39,20822347.127716813
40,19527803.475543227
41,17859433.27129491
42,17522738.935277283
43,19573783.267126877
44,17685992.508068718
45,17657811.241678294
46,16612927.569557482
47,18159064.67879254
48,20247172.403661337
49,18370140.908384297
50,17432806.68251572
51,18928770.91067463
52,17914675.967239995
53,18565862.66273345
54,18594374.556590192
55,20043363.66476261
56,18726100.537168562
57,19481620.741206817
58,18109862.38922063
59,18310323.3460607
60,18095593.283889726
61,19066555.36956842
62,19713167.9588346
63,20649881.489467185
64,18442724.595752165
65,19961111.33607034
66,17554726.590199444
67,17371609.51465742
68,16253702.662547309
69,16718153.42033278
70,17452109.89113379
71,17971057.207766343
72,16960201.173980348
73,18574524.630561534
74,18095467.39941833
75,17314349.408151444
76,16299865.633341903
77,17250609.89681102
78,18716127.46089628
79,18456267.710631102
80,18661274.227697156
81,18538021.641302347
82,19857069.562293228
83,17613088.204860933
84,17108958.400363576
85,18950587.145109702
86,17686741.495808054
87,17797600.825427387
88,18630371.72121044
89,18779524.89040753
90,18433151.45673933
91,19288662.138628185
92,18686296.73817683
93,18880119.021716572
94,18492480.02446076
95,18751543.44641468
96,19348750.923197463
97,18904652.721331432
98,17651138.962710213
99,18126715.670012653
100,17380119.302780233
101,17763118.80440877
102,16621486.350198409
103,17904915.24406212
104,19668009.752098557
105,18897520.49029415
106,18671827.62405279
107,19129470.935328294
108,16995705.31384376
109,18716945.399859022
110,17624751.981463287
111,19376338.87673375
112,17136546.153049093
113,17793345.883977897
114,17138101.978285182
115,18943340.465318665
116,18253936.363276392
117,19631427.388359524
118,18596469.312072773
119,17874616.14917446
120,18224116.056417383
121,18571410.159424692
122,17701008.94409717
123,19085152.470225602
124,21122818.740067042
125,19187156.998574957
126,18479734.880988695
127,16803617.68268866
128,16843079.12627899
129,16292491.604314715
130,18947587.677896824
131,17817776.65554558
132,16050922.805471973
133,19351079.951876275
134,18029693.44904889
135,18539820.18303306
136,19254155.07515085
137,18426592.18397187
138,19611160.018733557
139,18099068.899657097
140,19481958.833505034
141,18844723.425231438
142,18045626.59291134
143,18414112.35698906
144,17487709.920357123
145,18000294.42545714
146,18506749.121896666
147,19073177.00103663
148,19254499.20259263
149,18613445.700681195
150,19100958.316189356
151,19459958.250496887
152,18817267.398739565
153,17012763.339217752
154,18505799.484665837
155,17415798.464807212
156,19071264.75856469
157,19687951.86108002
158,19362396.123380445
159,17235061.013060383
160,17181826.076758884
161,17979916.814857557
162,17137200.106962807
163,17101110.358394273
164,18115674.94305359
165,18553329.7832972
166,20035831.838809125
167,19957083.97493169
168,18960781.558826216
169,18615282.295423143
170,18744140.838895
171,18811213.27440103
172,18484928.8122127
173,19881674.310254604
174,17972625.786137346
175,19954239.65193643
176,19854920.827781957
177,18254306.302847642
178,17835976.573070575
179,19549753.157782055
180,17864448.78217434
181,18451308.286676228
182,19502343.653350506
183,19468330.065470837
184,20305954.886865478
185,19280001.74972984
186,17488379.06963466
187,18706419.723231334
188,18235093.13179865
189,17936298.09258334
190,19530765.801709227
191,20142640.201351926
192,19719864.13047387
193,20415211.60733918
194,19047990.399968665
195,18231703.960211266
196,19583659.72997939
197,19655618.2780126
198,19871480.786453072
199,19273928.59682538
200,19156792.354326025
201,19687551.905420117
202,18909910.431680758
203,18820826.225520395
204,19074153.26081427
205,18594046.319456954
206,19562380.816755064
207,18887315.636529982
208,20592649.157872617
209,19443462.060790412
210,18974778.45238269
211,17605329.485687435
212,17789488.014193
213,16417617.244638594
214,17579316.49587767
215,17680252.344637852
216,19068082.570689593
217,17797278.615806885
218,17196306.082554154
219,16761051.807336522
220,18707557.10850988
221,18563522.274498537
222,19622843.107961185
223,19952741.75177016
224,22050412.83175913
225,19353929.288199354
226,19201106.56818881
227,19235567.701497197
228,18909664.799607247
229,17607093.06732953
230,18952787.026061486
231,20296600.721271534
232,20077494.78817423
233,18688105.656051245
234,18084966.59828273
235,18114989.372109257
236,17379164.484187108
237,17310893.416001327
238,17512350.981645
239,17837139.597808167
240,20652166.526099164
241,19691903.6857737
242,18433804.894678652
243,19842364.608899087
244,18826234.59734719
245,18437032.06991992
246,20209947.471588172
247,19436103.25336034
248,19669457.93473496
249,18312676.897570767
250,18650044.808061063
251,18355322.240360774
252,18375402.092401393
253,17390714.620080266
254,16945575.642133843
255,18062083.069678962
256,19031850.35076321
257,20766922.165511742
258,18584248.00883748
259,18850569.58599501
260,19245616.70988617
261,18244055.387845572
262,19237352.4424024
263,19631523.675068226
264,18900073.73472535
265,18026014.10975954
266,18165969.47488043
267,18579045.040304072
268,17479282.47357889
269,18486937.768568616
270,19351444.74595035
271,18949815.349578485
272,19804834.404367663
273,19570619.76904163
274,20896342.912319906
275,18007340.486441392
276,19767084.373223897
277,18978194.97843496
278,19497164.414410345
279,18286452.40534613
280,17844681.584854707
281,16366246.962424329
282,18972772.833791155
283,18748806.96522862
284,18777941.492152125
285,17787393.086810447
