Time (s),Average Resistance (Ohms)
0,8771946.59785084
1,8994121.224854816
2,9456107.15461113
3,8651138.424370755
4,10355067.283237282
5,8833563.834853938
6,9091969.369517738
7,8874780.579751233
8,9196282.860432154
9,9941015.420744555
10,8867492.034743084
11,9560332.022139996
12,9323715.100743394
13,8170088.046980737
14,10228573.310801234
15,9358905.194407994
16,9764277.297649244
17,9017852.626929393
18,9788991.627047908
19,9893928.69342809
20,9364535.522578409
21,8552614.992400212
22,9114969.952590628
23,8821087.066923955
24,9257335.637556529
25,8958832.76718731
26,9640805.507271042
27,9272393.466372399
28,8507862.159004671
29,8400399.955052864
30,8879382.59350971
31,9125959.004742216
32,10006815.279796422
33,9473766.814956615
34,9650604.496711878
35,9401393.67230891
36,8495126.060322557
37,9502683.17933723
38,9745901.8530204
39,9923139.190987583
40,9495794.801199751
41,9967463.984510852
42,9413302.448494969
43,9933222.49633926
44,10277382.348407498
45,9334443.18650865
46,10309224.870087203
47,9732815.045230377
48,10834931.087454196
49,9697990.114944683
50,9375368.731599689
51,9368493.597569862
52,8833225.630354492
53,9542440.006565085
54,9161753.523559093
55,8421568.023287963
56,9689159.0277779
57,9495526.893045262
58,10174080.743094953
59,10285112.766478969
60,9076481.451619588
61,9990495.554811833
62,10502382.615350798
63,10597568.44684849
64,9163141.980398986
65,9541393.29586537
66,9674949.796973718
67,11161247.020587677
68,9581173.168617254
69,10019174.749471758
70,9356292.602316886
71,9525309.974986771
72,10215151.807490248
73,10130315.212433383
74,9076731.46389397
75,10342903.132491048
76,10090253.026765078
77,9392356.067310436
78,8958005.07336173
79,9814223.827918593
80,8827284.81051131
81,9547147.316377388
82,9293624.19220968
83,9874343.187493114
84,8543767.943950942
85,9528794.475226086
86,9530037.70331484
87,9121195.470018681
88,9704158.92115885
89,9713530.194057103
90,9247065.086919274
91,9294101.07970972
92,9174925.869057704
93,9621371.008890342
94,9505587.916344441
95,8862819.732898349
96,9490445.99324852
97,9385316.12915321
98,9296988.208995802
99,8997981.732140694
100,10063697.169454578
101,9787666.978636688
102,9629144.476974243
103,9569976.692723233
104,8524617.272745175
105,8325967.129229529
106,9269324.1017855
107,8883751.960131923
108,9755904.601278875
109,8950125.442593602
110,10388765.298723351
111,9205656.224363536
112,11014083.079822388
113,9100290.64615534
114,9036126.3406392
115,9268866.007188397
116,9228697.264450453
117,9848564.458957085
118,11110225.608158486
119,9566882.44652696
120,9642099.601075467
121,8715083.175688485
122,9352517.487364665
123,9461365.597926075
124,9926906.365200613
125,9270093.146910317
126,9462065.058782866
127,9687417.813182665
128,9692647.218568657
129,9077050.699588537
130,10173741.292471778
131,9036767.628455853
132,10135827.533467505
133,8357669.1912019905
134,9078224.298254099
135,8750607.833656175
136,9110299.518397858
137,8410776.553872863
138,10696300.525448306
139,9598081.404834175
140,9422077.562703948
141,9221222.468310548
142,9020490.598615065
143,9870613.379905742
144,9657756.489105022
145,11015450.206000999
146,9454955.172545198
147,9434193.281165749
148,8521124.985183138
149,9137444.715603324
150,8817459.849395255
151,9277103.59373774
152,10425938.884634163
153,9496385.863131711
154,9446470.592965567
155,9529237.659108803
156,8282711.656746301
157,9635212.269823393
158,8812788.396199234
159,8804161.53560707
160,8315569.023452125
161,8567453.834977502
162,8281857.274521734
163,9385116.836568054
164,8149646.550120632
165,9487784.088665962
166,8780596.027551865
167,9437444.197338272
168,8904430.214073043
169,8404360.86379065
170,9917845.606317038
171,9302023.477539739
172,8833250.300546763
173,9173718.43942381
174,9086535.10224688
175,9841786.675661286
176,9316366.926531915
177,9564524.102479614
178,9349668.57345434
179,9435001.673825545
180,9405815.119820734
181,8836606.927127976
182,9230598.466392389
183,9061601.177183477
184,9070870.052004533
185,9353679.214403765
186,9050132.770008055
187,9722175.616327837
188,9251723.623912646
189,9635316.540928094
190,10580681.850122897
191,9063464.350130618
192,9188739.471632116
193,9108756.922054991
194,9552617.215300074
195,9701652.882567786
196,10285853.650358258
197,9440221.275294587
198,10187971.804459872
199,9825565.599909507
200,10076670.406996312
201,8205665.063682962
202,9079062.435554072
203,9237512.199579928
204,10053469.269261148
205,8795754.197517086
206,9892360.986393508
207,9512918.816229066
208,10852276.020665063
209,9220190.72684293
210,9945892.473105218
211,10152601.795077492
212,9048816.10984704
213,9718142.587293431
214,9131120.601018928
215,9778487.033038964
216,9221272.146009587
217,9838023.64145744
218,9751296.086386934
219,9704203.54456361
220,9508270.60415308
221,8795196.211373052
222,9374297.173367944
223,8251957.650227292
224,8833058.578339038
225,8255903.775927995
226,9357125.508556142
227,9223207.714419685
228,8116456.804788445
229,9400849.211976664
230,9082692.275963778
231,9531122.804885142
232,8957952.515329557
233,11256714.129071616
234,9323132.75115487
235,9918761.395589178
236,8977165.059540216
237,9598359.777761767
238,9456979.67935051
239,9081080.263694528
240,8757461.623219015
241,8639359.907904949
242,9440777.115032673
243,9267585.572051132
244,8879375.928159831
245,9197727.598979905
246,10321965.30006636
247,9947034.304042961
248,9036365.204059409
249,9854052.29381339
250,9468718.028487915
251,10012259.702132884
252,9814275.172399726
253,10466480.674084468
254,9892735.789916465
255,9759944.57851449
256,11094308.927373415
257,9960912.312777307
258,10089931.302053386
259,9033109.165424455
260,8385033.789213275
261,9732367.9562582
262,9476727.732684474
263,9521619.803862475
264,9168470.01210192
265,9851824.058106862
266,9654908.63213382
267,10016045.04511455
268,9830028.809254823
269,9327613.612181284
270,9252261.382486558
271,10322883.402186219
272,8384015.383505295
273,9950524.457340805
274,9367027.597101234
275,10745126.78098462
276,9933310.85777415
277,9693555.288709769
278,10019014.053416781
279,9298091.292538486
280,9393879.763602901
281,9193544.238235185
282,9356710.052366711
283,9975665.572625045
284,9751350.760015626
285,10162926.749443512
286,9281942.612914458
287,9785866.416341512
288,8508979.372233842
289,8479848.288917433
290,8617787.278670607
291,8965842.814255381
292,8533259.083082827
293,9131559.641090807
294,8695520.262458846
295,9317678.416975278
296,9130907.029859975
297,9229993.428901432
298,9668294.47425225
299,8301602.42093747
300,9940542.797647348
301,9132439.487759873
302,10084349.894949965
303,7887600.7096117055
304,9553227.652226606
305,9690935.000432799
306,9224723.06673227
307,9184551.768359674
308,9269577.708126029
309,8897014.775285035
310,10040983.765160149
311,9547449.277885687
312,9560457.414933916
313,10182421.723279012
314,9262639.629274327
315,9665708.493190428
316,9613835.571772799
317,10242219.019721959
318,9946975.870007915
319,9706307.741609119
320,10049004.747316169
321,9647875.298332125
322,9669171.476051742
323,10603584.883734953
324,9752846.31323989
325,10219496.761283338
326,9869629.894697402
327,9835904.621991267
328,8995138.637621209
329,9970281.615830788
330,9699626.473826269
331,9243298.174809111
332,8452574.718398588
333,8995598.394527022
334,9296766.06727399
335,10297161.78035874
336,8486738.074639933
337,8741797.531194748
338,9298593.745688016
339,9876986.613444697
340,8951438.902695581
341,9405970.5438621
342,9465855.1375065
343,10097847.810121642
344,9166292.401641628
345,9627612.056217393
346,9064994.919466028
347,11151122.180870337
348,9251214.27758589
349,9095670.989165962
350,9653552.105846701
351,9286664.169242283
352,9749700.90610585
353,9027545.248133298
354,10165999.68926426
355,9691122.679345336
356,9071001.425340036
357,10115778.800241651
358,9068147.165475821
359,10030556.95508051
360,9233287.512348326
361,9487011.497377882
362,9721085.214738531
363,7816468.596174313
364,9990140.736415928
365,9235030.939111704
366,9799185.08280563
367,9165989.467818921
368,9253906.801146692
369,9072663.387799777
370,9494537.032887703
371,8606209.471311126
372,8865084.601988617
373,8618155.148672119
374,8811157.44334934
375,8511581.087449448
376,8514480.982177278
377,9954538.009220399
378,9142764.010732466
379,9355858.639660522
380,9028814.885719623
381,11071425.017492536
382,10048116.945111537
383,9142127.336769447
384,9718701.621543052
385,11295801.605640337
386,10797491.462069884
387,9498615.617619125
388,10377811.770136913
389,9971890.767953577
390,9910697.934873784
391,9786948.689588211
392,9441027.54278785
393,9174377.420931593
394,10460991.794497058
395,9842994.644485207
396,8784958.39912354
397,10451998.559845876
398,9771062.67169131
399,10358782.206657339
400,9412291.234008214
401,8617482.211195325
402,10344565.44393585
403,9217794.043291848
404,8615176.688958634
405,9141473.930021208
406,9483192.428425005
407,10104871.738146473
408,8772397.443393867
409,10297592.329959277
410,9882028.228683159
411,9780582.000538291
412,9549541.166637588
413,9865364.128249178
414,9689332.861123446
415,9502442.646776292
416,9912812.245940944
417,9289856.052634384
418,9717456.34778456
419,9877652.970905976
420,9850142.208150823
421,9516957.483626042
