Time (s),Average Resistance (Ohms)
0,-667982.4296344945
1,-419232.361849084
2,-673628.6073450086
3,-746566.7256191494
4,1896742.3743845865
5,-268205.28208545654
6,-1592925.0872996305
7,2293188.9275431735
8,7012855.128006731
9,3942267.8281467445
10,-1143415.68417386
11,-1540801.3459831248
12,78439.34451738726
13,5392919.510583409
14,1999810.788041891
15,-3915782.958381715
16,-1915244.5859384672
17,-253785.68499097758
18,4672889.577270914
19,-3606146.5155708203
20,-5872493.058184469
21,-2066403.3899908047
22,8000165.782020226
23,-2382070.542206591
24,8888.156010187045
25,2815537.190068118
26,2073076.07448664
27,4268389.5860599475
28,-793687.1069607051
29,-3913079.0549000152
30,1733571.4225816398
31,8212326.537914624
32,872847.2678838037
33,518721.1599107174
34,-4103214.9256603434
35,3014666.2606684202
36,8083849.002039762
37,1333607.4148610453
38,-1979691.0819425199
39,3208640.692537209
40,1086227.6448305023
41,9204552.84539197
42,6082997.528275801
43,-1213560.9751865533
44,-1706839.1774181363
45,1537898.9463999872
46,-448665.3988482185
47,6574104.635803563
48,-1133629.2392469842
49,1407835.4497034193
50,5408.102347609494
51,1907706.3141810135
52,3165306.423864166
53,381974.09123410244
54,-363175.82170457585
55,2338985.6871330743
56,6590769.295645793
57,7544677.247470843
58,2006685.9207668826
59,-319637.08274527447
60,694933.6934586042
61,-133048.29512172
62,1349811.7388804532
63,2475759.1918114573
64,54314.92124388914
65,2530191.437786434
66,2031026.2027287025
67,986084.5091348311
68,-439166.81542223104
69,-1034175.0201709953
70,73779.50749481963
71,6657877.901615887
72,8401611.555420471
73,767560.441874267
74,639753.8816278811
75,-93944.9475011196
76,473908.61348961544
77,6909023.012562497
78,2537909.340775537
79,-745199.8640630072
80,712384.3420719873
81,1616572.8509590244
82,-2947374.378200961
83,-2661998.83125314
84,1974773.547738182
85,9235725.730971012
86,2261244.7451693155
87,620890.1432413033
88,-343684.75517432624
89,-460534.45407835813
90,8539741.061713394
91,2703721.4278799286
92,-817530.0354427833
93,2460123.8700404176
94,837041.2599652188
95,9871974.651160501
96,8022168.209742606
97,-375128.25307074655
98,-311328.72367713426
99,-291779.2532265132
100,-4639913.946289226
101,9217483.61180279
102,-2286757.3946041903
103,-119922.94660372732
104,210271.4177320784
105,1762027.241613421
106,3775682.1991881863
107,-1391288.777706781
108,122726.67390685252
109,3191379.1506929686
110,-992469.1587899227
111,-1355156.9912794153
112,3055665.5333855613
113,3887622.269916384
114,6237633.40129078
115,594321.4118961986
116,-2446474.7957249247
117,1124402.5297585784
118,3641233.4725920884
119,-1083108.3456169956
120,7449505.398215386
121,220668.87455048616
122,2223124.9505527914
123,470372.1147124501
124,4324745.756550268
125,6387519.284036009
126,437468.3117053689
127,3984108.154391007
128,6222313.738813692
129,-470850.3721575985
130,1468207.3286193642
131,962063.3024635974
132,877350.1385608139
133,4509046.538656598
134,3199085.896935978
135,-293637.54505646555
136,2894443.621059734
137,29776.426673921662
138,936828.5270621532
139,-1735863.0839315807
140,1595996.1449180257
141,-480551.10007951886
142,1286138.2816462875
143,5791162.7551434105
144,9143261.448286874
145,-1118053.2385138923
146,-337872.4798661267
147,1880692.7146979948
148,9031951.8453182
149,9278038.57025939
150,-33162.662969434146
151,819689.5515011047
152,3863056.051935155
153,-61415.205630146644
154,1008764.9250920976
155,1761204.2945380132
156,-2086166.7982110395
157,3027201.6104000146
158,-1505691.029741879
159,-426527.64112604735
160,-1571282.1871746082
161,1259791.627035786
162,1880971.4740572348
163,-1655740.3566399724
164,1185303.5913275827
165,1380057.0773335584
166,9965276.567462469
167,-1451851.1974636354
168,6703305.838666751
169,-3457950.2706833556
170,493945.7897332685
171,6086102.885394311
172,-778129.5361089337
173,-1789736.3248441075
174,3426699.8656338924
175,9067212.034655834
176,7866259.187722111
177,3397968.2139663263
178,962889.1854507246
179,6564475.096334327
180,2810014.558500356
181,8582981.301099896
182,186681.17073842115
183,-822401.4595233316
184,209190.1813061818
185,3332887.4548706138
186,-349341.65100954456
187,-1259474.9301231697
188,452920.9977008742
189,1984938.6225056779
190,-193971.43815202196
191,8207466.3159661535
192,121200.77381324806
193,-1701573.4454742365
194,-2844519.365900243
195,5825305.179090163
196,7869256.287374927
197,371950.4988486844
198,2555243.228042769
199,1082465.6968293502
200,4876279.081326842
201,3222381.900546733
202,1886181.4521135509
203,-605540.7151038252
204,2339658.198200374
205,2430883.953618705
206,-320587.02285146294
207,2256634.8482265887
208,266043.63005883223
209,2099094.207218105
210,1135309.085195133
211,332814.12796483265
212,2836800.6159840086
213,876937.4566346935
214,2182046.731507607
215,757058.86156586
216,6854395.8890493605
217,769810.6931352256
218,-267604.7081719985
219,-1757532.7963547546
220,1837388.2124264068
221,8747721.580458438
222,-21190.78018002047
223,-918267.3134931313
224,990460.6770173509
225,-1428182.9721843288
226,9343994.123877075
227,3526720.2501699193
228,1288403.9254093044
229,972823.5819663315
230,6025185.188759813
231,10022907.301337063
232,658302.1900243263
233,788272.5642799328
234,-2073212.3606560263
235,2379908.445901131
236,3677974.0725274174
237,2450101.621303415
238,-877557.3169053153
239,-740369.5238610236
240,2568678.48383022
241,7145449.919817393
242,1695691.6902178437
243,-1243438.3458227704
244,-983339.2751368616
245,-1382744.9002674127
246,967056.2644886508
247,7022761.360623342
248,-477689.82568171097
