Time (s),Average Resistance (Ohms)
0,9747833.032995468
1,14842745.293618124
2,20287906.49153892
3,10604643.890351325
4,10104359.341029441
5,15014534.990433192
6,12076648.495032292
7,13588989.989851397
8,14102600.062343081
9,8953439.44863275
10,10454842.382390352
11,12957384.003107483
12,18715253.404232945
13,12628817.55182052
14,13401680.21545105
15,17705741.135718238
16,13140937.36547422
17,13238748.35450333
18,14587602.260302346
19,15333829.65101924
20,10280629.120987866
21,12167513.450499665
22,12218151.762769137
23,12087947.089104678
24,11112875.232680112
25,14659343.774266649
26,11122886.179075621
27,11307308.206428574
28,12951828.377252951
29,9689896.891976088
30,13601216.310953233
31,11775517.5242968
32,10880500.849003999
33,14169345.890009383
34,11219386.739218554
35,15136342.676150892
36,10845469.46822162
37,10350901.544694236
38,13772255.671316307
39,18283750.69838393
40,13725100.896307474
41,13258952.801869282
42,12949791.55170408
43,18523347.42387484
44,14232986.51354658
45,14059873.913393384
46,10009536.621546708
47,16969048.77799561
48,11596484.106694497
49,14227900.55295287
50,17195089.104443543
51,12235202.69307358
52,9335130.135391835
53,13094491.62490072
54,17228628.11962817
55,8923286.092178406
56,12978326.95224472
57,15950277.298428606
58,11467785.024909157
59,10921810.449458601
60,8327726.57644395
61,12462925.410049597
62,9830878.34997663
63,14738323.382202273
64,9168940.461420866
65,11944900.009192457
66,11811179.981617656
67,15845809.534512833
68,13416342.379775222
69,12516160.845122635
70,11135263.33044817
71,13137438.83974756
72,11880883.594394986
73,9297832.288716983
74,15018629.784929877
75,14935448.370907843
76,14378390.332537437
77,10332614.830551546
78,11006989.758397656
79,13719020.070477232
80,8602331.310263524
81,11010394.696866173
82,13173999.469450895
83,18865112.646067623
84,11546999.139803942
85,11926914.31742104
86,13102157.103134073
87,17309440.525474172
88,12144314.814602539
89,12101269.04118133
90,13245096.849863019
91,20516683.31555628
92,11040224.127671728
93,13259322.095007198
94,17361092.93244893
95,12973643.437659048
96,8068710.99655166
97,12774575.27470353
98,9365002.88219855
99,14407264.461528929
100,11940412.673077295
101,8534634.668659722
102,10724772.57924672
103,13568296.299629852
104,10123294.819601702
105,10853633.577595651
106,11597561.062094096
107,14321011.47935699
108,12908155.807579841
109,13431332.821183035
110,12030748.898354162
111,15406636.537957177
112,6638699.994406544
113,11339820.962006442
114,12152832.726938302
115,16198227.090227425
116,8781546.28689159
117,10553334.449170735
118,9108873.763101827
119,7852944.653902303
120,7991290.834861294
121,12159320.346655345
122,18141006.98485764
123,6052685.602124723
124,11473003.55317981
125,9465491.169585966
126,5413409.015814121
127,11459057.658984829
128,12503413.192370323
129,11129635.103754818
130,10027146.87129331
131,11206448.321754362
132,8992884.977435572
133,9775660.464510128
134,14454228.178069811
135,12912060.231460007
136,13391379.744210405
137,12451332.09212444
138,15376571.539068962
139,12681943.237796605
140,12186127.119695075
141,10861663.216409698
142,10203278.377362818
143,8874560.836104376
144,11510255.428280225
145,12870757.522871671
146,8376093.864509146
147,13172248.016044
148,10284494.045252942
149,13080177.290654378
150,9905936.604409177
151,8370788.941247742
152,9002817.82148117
153,13237056.924718931
154,14096727.663062626
155,12584818.239620268
156,15135372.549874995
157,12400474.533498326
158,14819292.444128294
159,16064311.242360199
160,11300159.148401782
161,14661010.285507523
162,13664494.294858256
163,13459837.496210316
164,12926799.223342473
165,13459679.147670101
166,12569322.982090082
167,12096031.431088183
168,11022413.956851501
169,16498267.70598654
170,12010557.955269026
171,11301855.288890205
172,11645301.37508993
173,15757106.826615045
174,14529155.385565022
175,11538359.179565873
176,12316079.143203724
177,12355450.718979005
178,10789432.52424942
179,13427278.30559218
180,14359683.878326448
181,12408854.674512211
182,9909349.018602682
183,15835457.584772423
184,12412129.884577556
185,10917006.542540278
186,11048066.958643813
187,10246280.06127004
188,12408042.642324533
189,8811866.400205182
190,18715005.963564295
191,9484233.034307376
192,11071761.892078843
193,11229946.16426388
194,11173332.343579711
195,12077267.927204087
196,10462016.326871973
197,20333548.310129955
198,11465710.779169025
199,12594004.951687794
200,13707716.68405806
201,15297006.310142117
202,10624610.453722723
203,12882221.373287197
204,14930063.004128013
205,11228981.625480553
206,11948479.004137067
207,12353488.722076563
208,15361522.019188408
209,10558976.58901333
210,13752851.600402858
211,12529950.067705099
212,18048523.417356648
213,11659422.578637388
214,10980495.624725576
215,16666336.30888642
216,12809978.137313316
217,14553395.522045556
218,13999508.486209873
219,11698118.40578473
220,7956267.711050906
221,14454413.678602662
222,15463187.008960348
223,13696823.327049823
224,10676408.870290026
225,11949611.393205896
226,10357064.695073018
227,13319773.369485209
228,11910376.156306656
229,19491048.121465534
230,10170011.374793997
231,10822907.858896883
232,12470610.887232449
233,10366918.576995632
234,11557382.728633251
235,11818080.567222089
236,8695887.961315997
237,9355552.560908005
238,10186206.824842617
239,14353776.557164669
240,10515401.999564763
241,10518326.394916238
242,11960289.200299138
243,16297982.297457386
244,12546201.234644331
245,8734121.825102799
246,12641413.524948092
247,12506358.125447862
248,9673891.81642105
249,10085304.134584865
250,12083240.019982075
251,16176392.634990556
252,10274042.218371851
253,9032246.66094545
254,15333814.811149271
255,18986602.65608398
256,11937662.027957048
257,11057297.159106692
258,13301631.833053546
259,11015162.54101615
260,13396305.496777121
261,13775198.653891709
262,12828822.199380843
263,10537537.83358935
264,14059897.20902994
265,12203645.926031237
266,9959957.422301654
267,13915772.580309592
268,13658387.918342818
269,13465054.878101766
270,11032059.03958861
271,11885981.72704058
272,14553288.05524902
273,10804666.640240429
274,11089802.103730397
275,11476496.542899407
276,14675157.405803774
277,9270515.575088471
278,12199988.215437623
279,11080093.315259112
280,14327787.341361305
281,11090485.45188834
282,12140407.562588524
283,14548660.874140587
284,11176977.580461938
285,13068342.773100944
286,10972476.84807707
287,10314846.805846317
288,8411116.416699434
289,12447306.291888326
290,15966773.134188445
291,12491123.80200876
292,11165365.298555672
293,10725118.035822975
294,9312322.911829965
295,11959870.777422529
296,10159458.479338186
297,12309778.149126312
298,9581437.481253508
299,10803013.949993018
300,14482357.495860508
301,19410135.071120746
302,12789952.937485185
303,10591902.282017931
304,12261236.372447954
305,11748998.536087537
306,9690822.055928594
307,12574460.254659107
308,11687719.527436499
309,8899284.25665662
310,9250669.847961072
