Time (s),Average Resistance (Ohms)
0,24864063.31614659
1,27407684.97090172
2,32541709.55319825
3,25827555.45459219
4,26945966.30966144
5,26688951.55310478
6,28999035.33966462
7,25765458.218672685
8,25849105.24039108
9,27554722.527900856
10,31195853.48410774
11,24819663.680828623
12,26992865.91848564
13,26072072.087745305
14,29912035.674195837
15,24467286.667109307
16,25992003.911319703
17,27641673.30359295
18,36215004.68180015
19,23756091.927887566
20,25199531.75556538
21,28766904.890017718
22,25093298.35896928
23,27810440.835021615
24,30480059.384083748
25,25144768.331256546
26,27312749.861308463
27,29701877.942097705
28,25929957.486145653
29,25838637.500291094
30,30133424.874003887
31,24837737.804078605
32,24884158.453137666
33,26481174.997747716
34,30514192.61755074
35,24038252.96552559
36,25676686.080826435
37,26455473.87582584
38,32250482.73342619
39,24505479.06371693
40,24687933.321429305
41,26474905.424295675
42,31334766.351509906
43,24052311.87407059
44,25065903.222079925
45,27160228.761771265
46,31956823.383117374
47,23320610.933034107
48,24426265.295899987
49,27364916.42075624
50,29104892.1714482
51,25686604.037188236
52,25941363.580226704
53,27961097.905615944
54,36967675.33928818
55,25731363.26620296
56,25577121.99956773
57,26946383.665563554
58,23934125.495764926
59,26897936.384379633
60,29741611.72164723
61,51860292.478637874
62,25394689.143962253
63,25088447.93200055
64,29352200.37693944
65,25382583.590139903
66,25143246.634183288
67,30636310.093492564
68,25060080.98097886
69,24607295.840203583
70,27284923.25790348
71,28788566.09928462
72,25182250.755267177
73,26122401.022007324
74,26499948.256666943
75,32687459.901723806
76,24493242.70313465
77,26875574.07876863
78,28868297.82838928
79,35281617.6029206
80,23988729.90305858
81,25397779.078305893
82,27608956.421857163
83,32106998.56447388
84,24641203.552034717
85,27630025.47536057
86,26551378.36621994
87,30760216.49890972
88,25733817.26838927
89,25748856.54519262
90,29164998.125468355
91,25471668.33670405
92,26278378.768187672
93,29124211.218637794
94,25306950.126945164
95,26545408.85489283
96,28294065.89458834
97,13755008.445526015
98,26910790.21149844
99,26117973.346576035
100,29508739.720332038
101,24716101.03739639
102,26879978.61667504
103,26825481.398888633
104,30967174.0455443
105,24826294.229571097
106,26116970.97437368
107,26784886.30258525
108,32337807.589539908
109,24884282.51478538
110,26213122.464364223
111,27712713.364823546
112,38484122.66811398
113,24004011.427400596
114,26649505.97046965
115,28828733.345130153
116,34337868.17548195
117,25610026.516542844
118,28570443.323922623
119,29272298.681908656
120,29334434.781073414
121,25297935.7563863
122,27876523.11129309
123,30473270.370926995
124,51358244.501616865
125,24775974.609422
126,27527758.170164425
127,29650471.05657453
128,27172696.197818536
129,29022864.07046022
130,31609035.989324845
131,27933980.758036885
132,27091774.458778914
133,34416680.42161113
134,25378291.560557686
135,26420832.55952831
136,28432092.39317857
137,32129183.717224963
138,24714064.296110418
139,26953819.8129951
140,29633150.23946271
141,32964604.3015577
142,25532065.29803843
143,27967094.1633272
144,27732843.29252125
145,34835091.6342208
146,24517558.086118486
147,26384434.121409647
148,27113806.457375385
149,39892493.448248185
150,23664850.051125187
151,26112489.09138631
152,29685718.160196673
153,32224919.10928161
154,25548330.57595742
155,26727548.518509433
156,29680087.166145876
157,41291640.68717407
158,26580552.95888154
159,26730896.142972566
160,30100586.373059176
161,25772229.044039793
162,28107991.470415246
163,29719868.412399378
164,24591874.490212783
165,25963986.045334153
166,28986310.175563045
167,30735092.36308472
168,27126875.79650712
169,26177971.057664003
170,30884266.02923442
171,25011881.772781186
172,26279029.81184555
173,26959718.925659638
174,32135491.10337345
175,24676130.106003664
176,25035695.09708963
177,29301550.441309754
178,35254011.706950486
179,25411398.94435267
180,26203880.347943977
181,28534751.400971144
182,37909459.126617685
183,23882453.6390561
184,26961961.062905908
185,28508316.813474923
186,32946066.602962214
187,25167866.46291587
188,26732870.627891954
189,28794569.008032158
190,38317873.56461388
191,27338000.3663434
192,27965401.388561063
193,31725010.98755934
194,27688526.178147186
195,26951175.11977741
196,29965034.32268225
197,27023982.315403182
198,27083487.286090072
199,30036668.416757062
200,20395206.636198647
201,27741359.464613438
202,26706549.726501454
203,31508593.092223354
204,25291417.168047063
205,28768368.82582325
206,30358180.307161734
207,32775565.287647866
208,25743244.35606422
209,26448895.453334767
210,29343170.522928152
211,34574740.63463601
212,25584933.35375511
213,26894672.631356988
214,27873482.14868928
215,40155212.86053745
216,23959439.9087101
217,28070813.971435554
218,29473201.334638078
219,41013348.249544166
220,25038887.991596453
221,27498215.22843894
222,30776107.4277527
223,36278426.03605236
224,26398594.69321779
225,27839229.29191052
226,29588413.72983747
227,28399603.941041965
228,28208963.165490508
229,33866990.06367018
230,26868993.396716412
231,30478710.738888837
232,33287145.164389774
233,27370989.4341547
234,28604395.352164906
235,32319381.957760774
236,25372544.600981988
237,28325690.73891899
238,27455441.835040897
239,39022001.355910264
240,25695153.457010925
241,27899515.87129129
242,28658525.980288766
243,32832837.862949923
244,27616601.819401544
245,27375954.577317752
246,29775265.40446485
247,36813374.481141776
248,25642542.32019772
249,28832306.123473667
250,31183297.540390003
251,57258366.351929605
252,25639888.65695827
253,29311450.518434145
254,29916367.71494128
255,42100439.80188671
256,26695056.5155503
257,29094710.70158015
258,30033557.512129433
259,55533187.554031044
260,28137550.75630643
261,27464094.764147446
262,31430705.294657037
263,28313486.79786741
264,30505972.118036497
